demand,Month,Date,Year,Time,City
809.0,7,1,2018,1:00,seattle
779.0,7,1,2018,2:00,seattle
753.0,7,1,2018,3:00,seattle
748.0,7,1,2018,4:00,seattle
745.0,7,1,2018,5:00,seattle
749.0,7,1,2018,6:00,seattle
774.0,7,1,2018,7:00,seattle
827.0,7,1,2018,8:00,seattle
881.0,7,1,2018,9:00,seattle
933.0,7,1,2018,10:00,seattle
965.0,7,1,2018,11:00,seattle
982.0,7,1,2018,12:00,seattle
978.0,7,1,2018,13:00,seattle
976.0,7,1,2018,14:00,seattle
980.0,7,1,2018,15:00,seattle
940.0,7,1,2018,16:00,seattle
984.0,7,1,2018,17:00,seattle
982.0,7,1,2018,18:00,seattle
987.0,7,1,2018,19:00,seattle
979.0,7,1,2018,20:00,seattle
975.0,7,1,2018,21:00,seattle
985.0,7,1,2018,22:00,seattle
934.0,7,1,2018,23:00,seattle
861.0,7,2,2018,0:00,seattle
797.0,7,2,2018,1:00,seattle
765.0,7,2,2018,2:00,seattle
736.0,7,2,2018,3:00,seattle
745.0,7,2,2018,4:00,seattle
764.0,7,2,2018,5:00,seattle
829.0,7,2,2018,6:00,seattle
931.0,7,2,2018,7:00,seattle
1033.0,7,2,2018,8:00,seattle
1023.0,7,2,2018,9:00,seattle
1051.0,7,2,2018,10:00,seattle
1079.0,7,2,2018,11:00,seattle
1104.0,7,2,2018,12:00,seattle
1096.0,7,2,2018,13:00,seattle
1082.0,7,2,2018,14:00,seattle
1093.0,7,2,2018,15:00,seattle
1077.0,7,2,2018,16:00,seattle
1073.0,7,2,2018,17:00,seattle
1082.0,7,2,2018,18:00,seattle
1051.0,7,2,2018,19:00,seattle
1031.0,7,2,2018,20:00,seattle
1004.0,7,2,2018,21:00,seattle
1008.0,7,2,2018,22:00,seattle
963.0,7,2,2018,23:00,seattle
872.0,7,3,2018,0:00,seattle
802.0,7,3,2018,1:00,seattle
775.0,7,3,2018,2:00,seattle
744.0,7,3,2018,3:00,seattle
743.0,7,3,2018,4:00,seattle
761.0,7,3,2018,5:00,seattle
815.0,7,3,2018,6:00,seattle
924.0,7,3,2018,7:00,seattle
1023.0,7,3,2018,8:00,seattle
1058.0,7,3,2018,9:00,seattle
1070.0,7,3,2018,10:00,seattle
1078.0,7,3,2018,11:00,seattle
1078.0,7,3,2018,12:00,seattle
1086.0,7,3,2018,13:00,seattle
1095.0,7,3,2018,14:00,seattle
1067.0,7,3,2018,15:00,seattle
1087.0,7,3,2018,16:00,seattle
1101.0,7,3,2018,17:00,seattle
1080.0,7,3,2018,18:00,seattle
1072.0,7,3,2018,19:00,seattle
1043.0,7,3,2018,20:00,seattle
1017.0,7,3,2018,21:00,seattle
996.0,7,3,2018,22:00,seattle
956.0,7,3,2018,23:00,seattle
892.0,7,4,2018,0:00,seattle
819.0,7,4,2018,1:00,seattle
780.0,7,4,2018,2:00,seattle
756.0,7,4,2018,3:00,seattle
746.0,7,4,2018,4:00,seattle
751.0,7,4,2018,5:00,seattle
757.0,7,4,2018,6:00,seattle
798.0,7,4,2018,7:00,seattle
860.0,7,4,2018,8:00,seattle
910.0,7,4,2018,9:00,seattle
955.0,7,4,2018,10:00,seattle
1000.0,7,4,2018,11:00,seattle
1021.0,7,4,2018,12:00,seattle
1039.0,7,4,2018,13:00,seattle
1036.0,7,4,2018,14:00,seattle
1036.0,7,4,2018,15:00,seattle
1025.0,7,4,2018,16:00,seattle
1011.0,7,4,2018,17:00,seattle
1006.0,7,4,2018,18:00,seattle
985.0,7,4,2018,19:00,seattle
951.0,7,4,2018,20:00,seattle
939.0,7,4,2018,21:00,seattle
938.0,7,4,2018,22:00,seattle
896.0,7,4,2018,23:00,seattle
861.0,7,5,2018,0:00,seattle
816.0,7,5,2018,1:00,seattle
767.0,7,5,2018,2:00,seattle
705.0,7,5,2018,3:00,seattle
696.0,7,5,2018,4:00,seattle
712.0,7,5,2018,5:00,seattle
747.0,7,5,2018,6:00,seattle
849.0,7,5,2018,7:00,seattle
949.0,7,5,2018,8:00,seattle
1009.0,7,5,2018,9:00,seattle
1051.0,7,5,2018,10:00,seattle
1086.0,7,5,2018,11:00,seattle
1103.0,7,5,2018,12:00,seattle
1111.0,7,5,2018,13:00,seattle
1133.0,7,5,2018,14:00,seattle
1139.0,7,5,2018,15:00,seattle
1146.0,7,5,2018,16:00,seattle
1165.0,7,5,2018,17:00,seattle
1171.0,7,5,2018,18:00,seattle
1128.0,7,5,2018,19:00,seattle
1075.0,7,5,2018,20:00,seattle
1028.0,7,5,2018,21:00,seattle
1023.0,7,5,2018,22:00,seattle
961.0,7,5,2018,23:00,seattle
838.0,7,6,2018,0:00,seattle
785.0,7,6,2018,1:00,seattle
762.0,7,6,2018,2:00,seattle
744.0,7,6,2018,3:00,seattle
732.0,7,6,2018,4:00,seattle
749.0,7,6,2018,5:00,seattle
831.0,7,6,2018,6:00,seattle
935.0,7,6,2018,7:00,seattle
1041.0,7,6,2018,8:00,seattle
1103.0,7,6,2018,9:00,seattle
1149.0,7,6,2018,10:00,seattle
1163.0,7,6,2018,11:00,seattle
1176.0,7,6,2018,12:00,seattle
1176.0,7,6,2018,13:00,seattle
1180.0,7,6,2018,14:00,seattle
1169.0,7,6,2018,15:00,seattle
1179.0,7,6,2018,16:00,seattle
1186.0,7,6,2018,17:00,seattle
1176.0,7,6,2018,18:00,seattle
1118.0,7,6,2018,19:00,seattle
1067.0,7,6,2018,20:00,seattle
999.0,7,6,2018,21:00,seattle
962.0,7,6,2018,22:00,seattle
964.0,7,6,2018,23:00,seattle
900.0,7,7,2018,0:00,seattle
829.0,7,7,2018,1:00,seattle
802.0,7,7,2018,2:00,seattle
778.0,7,7,2018,3:00,seattle
767.0,7,7,2018,4:00,seattle
766.0,7,7,2018,5:00,seattle
764.0,7,7,2018,6:00,seattle
799.0,7,7,2018,7:00,seattle
854.0,7,7,2018,8:00,seattle
921.0,7,7,2018,9:00,seattle
982.0,7,7,2018,10:00,seattle
1011.0,7,7,2018,11:00,seattle
1031.0,7,7,2018,12:00,seattle
1027.0,7,7,2018,13:00,seattle
1025.0,7,7,2018,14:00,seattle
1027.0,7,7,2018,15:00,seattle
1001.0,7,7,2018,16:00,seattle
1023.0,7,7,2018,17:00,seattle
1022.0,7,7,2018,18:00,seattle
1020.0,7,7,2018,19:00,seattle
1010.0,7,7,2018,20:00,seattle
984.0,7,7,2018,21:00,seattle
971.0,7,7,2018,22:00,seattle
950.0,7,7,2018,23:00,seattle
867.0,7,8,2018,0:00,seattle
831.0,7,8,2018,1:00,seattle
780.0,7,8,2018,2:00,seattle
757.0,7,8,2018,3:00,seattle
749.0,7,8,2018,4:00,seattle
743.0,7,8,2018,5:00,seattle
734.0,7,8,2018,6:00,seattle
760.0,7,8,2018,7:00,seattle
804.0,7,8,2018,8:00,seattle
835.0,7,8,2018,9:00,seattle
890.0,7,8,2018,10:00,seattle
938.0,7,8,2018,11:00,seattle
959.0,7,8,2018,12:00,seattle
984.0,7,8,2018,13:00,seattle
1014.0,7,8,2018,14:00,seattle
1001.0,7,8,2018,15:00,seattle
1017.0,7,8,2018,16:00,seattle
1020.0,7,8,2018,17:00,seattle
1059.0,7,8,2018,18:00,seattle
1040.0,7,8,2018,19:00,seattle
1049.0,7,8,2018,20:00,seattle
1028.0,7,8,2018,21:00,seattle
1045.0,7,8,2018,22:00,seattle
973.0,7,8,2018,23:00,seattle
909.0,7,9,2018,0:00,seattle
832.0,7,9,2018,1:00,seattle
800.0,7,9,2018,2:00,seattle
778.0,7,9,2018,3:00,seattle
776.0,7,9,2018,4:00,seattle
797.0,7,9,2018,5:00,seattle
848.0,7,9,2018,6:00,seattle
946.0,7,9,2018,7:00,seattle
1045.0,7,9,2018,8:00,seattle
1068.0,7,9,2018,9:00,seattle
1105.0,7,9,2018,10:00,seattle
1141.0,7,9,2018,11:00,seattle
1134.0,7,9,2018,12:00,seattle
1170.0,7,9,2018,13:00,seattle
1183.0,7,9,2018,14:00,seattle
1180.0,7,9,2018,15:00,seattle
1190.0,7,9,2018,16:00,seattle
1173.0,7,9,2018,17:00,seattle
1159.0,7,9,2018,18:00,seattle
1122.0,7,9,2018,19:00,seattle
1080.0,7,9,2018,20:00,seattle
1050.0,7,9,2018,21:00,seattle
1042.0,7,9,2018,22:00,seattle
981.0,7,9,2018,23:00,seattle
895.0,7,10,2018,0:00,seattle
827.0,7,10,2018,1:00,seattle
777.0,7,10,2018,2:00,seattle
773.0,7,10,2018,3:00,seattle
768.0,7,10,2018,4:00,seattle
785.0,7,10,2018,5:00,seattle
837.0,7,10,2018,6:00,seattle
945.0,7,10,2018,7:00,seattle
1032.0,7,10,2018,8:00,seattle
1073.0,7,10,2018,9:00,seattle
1077.0,7,10,2018,10:00,seattle
1044.0,7,10,2018,11:00,seattle
1101.0,7,10,2018,12:00,seattle
1106.0,7,10,2018,13:00,seattle
1136.0,7,10,2018,14:00,seattle
1145.0,7,10,2018,15:00,seattle
1147.0,7,10,2018,16:00,seattle
1151.0,7,10,2018,17:00,seattle
1153.0,7,10,2018,18:00,seattle
1121.0,7,10,2018,19:00,seattle
1095.0,7,10,2018,20:00,seattle
1068.0,7,10,2018,21:00,seattle
1062.0,7,10,2018,22:00,seattle
998.0,7,10,2018,23:00,seattle
913.0,7,11,2018,0:00,seattle
841.0,7,11,2018,1:00,seattle
796.0,7,11,2018,2:00,seattle
774.0,7,11,2018,3:00,seattle
772.0,7,11,2018,4:00,seattle
778.0,7,11,2018,5:00,seattle
821.0,7,11,2018,6:00,seattle
947.0,7,11,2018,7:00,seattle
1031.0,7,11,2018,8:00,seattle
1098.0,7,11,2018,9:00,seattle
1129.0,7,11,2018,10:00,seattle
1150.0,7,11,2018,11:00,seattle
1187.0,7,11,2018,12:00,seattle
1182.0,7,11,2018,13:00,seattle
1201.0,7,11,2018,14:00,seattle
1195.0,7,11,2018,15:00,seattle
1197.0,7,11,2018,16:00,seattle
1205.0,7,11,2018,17:00,seattle
1219.0,7,11,2018,18:00,seattle
1177.0,7,11,2018,19:00,seattle
1145.0,7,11,2018,20:00,seattle
1115.0,7,11,2018,21:00,seattle
1102.0,7,11,2018,22:00,seattle
1014.0,7,11,2018,23:00,seattle
950.0,7,12,2018,0:00,seattle
873.0,7,12,2018,1:00,seattle
821.0,7,12,2018,2:00,seattle
747.0,7,12,2018,3:00,seattle
736.0,7,12,2018,4:00,seattle
750.0,7,12,2018,5:00,seattle
799.0,7,12,2018,6:00,seattle
912.0,7,12,2018,7:00,seattle
1012.0,7,12,2018,8:00,seattle
1074.0,7,12,2018,9:00,seattle
1109.0,7,12,2018,10:00,seattle
1135.0,7,12,2018,11:00,seattle
1168.0,7,12,2018,12:00,seattle
1179.0,7,12,2018,13:00,seattle
1194.0,7,12,2018,14:00,seattle
1195.0,7,12,2018,15:00,seattle
1210.0,7,12,2018,16:00,seattle
1215.0,7,12,2018,17:00,seattle
1215.0,7,12,2018,18:00,seattle
1180.0,7,12,2018,19:00,seattle
1139.0,7,12,2018,20:00,seattle
1107.0,7,12,2018,21:00,seattle
1090.0,7,12,2018,22:00,seattle
1027.0,7,12,2018,23:00,seattle
937.0,7,13,2018,0:00,seattle
861.0,7,13,2018,1:00,seattle
805.0,7,13,2018,2:00,seattle
773.0,7,13,2018,3:00,seattle
759.0,7,13,2018,4:00,seattle
784.0,7,13,2018,5:00,seattle
850.0,7,13,2018,6:00,seattle
970.0,7,13,2018,7:00,seattle
1063.0,7,13,2018,8:00,seattle
1110.0,7,13,2018,9:00,seattle
1163.0,7,13,2018,10:00,seattle
1194.0,7,13,2018,11:00,seattle
1214.0,7,13,2018,12:00,seattle
1221.0,7,13,2018,13:00,seattle
1227.0,7,13,2018,14:00,seattle
1228.0,7,13,2018,15:00,seattle
1242.0,7,13,2018,16:00,seattle
1255.0,7,13,2018,17:00,seattle
1232.0,7,13,2018,18:00,seattle
1194.0,7,13,2018,19:00,seattle
1143.0,7,13,2018,20:00,seattle
1093.0,7,13,2018,21:00,seattle
1085.0,7,13,2018,22:00,seattle
1024.0,7,13,2018,23:00,seattle
935.0,7,14,2018,0:00,seattle
866.0,7,14,2018,1:00,seattle
817.0,7,14,2018,2:00,seattle
811.0,7,14,2018,3:00,seattle
795.0,7,14,2018,4:00,seattle
769.0,7,14,2018,5:00,seattle
785.0,7,14,2018,6:00,seattle
793.0,7,14,2018,7:00,seattle
892.0,7,14,2018,8:00,seattle
968.0,7,14,2018,9:00,seattle
1018.0,7,14,2018,10:00,seattle
1059.0,7,14,2018,11:00,seattle
1074.0,7,14,2018,12:00,seattle
1075.0,7,14,2018,13:00,seattle
1075.0,7,14,2018,14:00,seattle
1084.0,7,14,2018,15:00,seattle
1075.0,7,14,2018,16:00,seattle
1093.0,7,14,2018,17:00,seattle
1098.0,7,14,2018,18:00,seattle
1093.0,7,14,2018,19:00,seattle
1078.0,7,14,2018,20:00,seattle
1050.0,7,14,2018,21:00,seattle
1036.0,7,14,2018,22:00,seattle
976.0,7,14,2018,23:00,seattle
904.0,7,15,2018,0:00,seattle
884.0,7,15,2018,1:00,seattle
848.0,7,15,2018,2:00,seattle
811.0,7,15,2018,3:00,seattle
800.0,7,15,2018,4:00,seattle
786.0,7,15,2018,5:00,seattle
781.0,7,15,2018,6:00,seattle
807.0,7,15,2018,7:00,seattle
874.0,7,15,2018,8:00,seattle
946.0,7,15,2018,9:00,seattle
1009.0,7,15,2018,10:00,seattle
1047.0,7,15,2018,11:00,seattle
1089.0,7,15,2018,12:00,seattle
1106.0,7,15,2018,13:00,seattle
1120.0,7,15,2018,14:00,seattle
1131.0,7,15,2018,15:00,seattle
1144.0,7,15,2018,16:00,seattle
1170.0,7,15,2018,17:00,seattle
1174.0,7,15,2018,18:00,seattle
1182.0,7,15,2018,19:00,seattle
1172.0,7,15,2018,20:00,seattle
1156.0,7,15,2018,21:00,seattle
1141.0,7,15,2018,22:00,seattle
1084.0,7,15,2018,23:00,seattle
993.0,7,16,2018,0:00,seattle
914.0,7,16,2018,1:00,seattle
869.0,7,16,2018,2:00,seattle
842.0,7,16,2018,3:00,seattle
824.0,7,16,2018,4:00,seattle
845.0,7,16,2018,5:00,seattle
901.0,7,16,2018,6:00,seattle
990.0,7,16,2018,7:00,seattle
1105.0,7,16,2018,8:00,seattle
1160.0,7,16,2018,9:00,seattle
1163.0,7,16,2018,10:00,seattle
1179.0,7,16,2018,11:00,seattle
1233.0,7,16,2018,12:00,seattle
1280.0,7,16,2018,13:00,seattle
1294.0,7,16,2018,14:00,seattle
1313.0,7,16,2018,15:00,seattle
1319.0,7,16,2018,16:00,seattle
1338.0,7,16,2018,17:00,seattle
1319.0,7,16,2018,18:00,seattle
1276.0,7,16,2018,19:00,seattle
1240.0,7,16,2018,20:00,seattle
1195.0,7,16,2018,21:00,seattle
1182.0,7,16,2018,22:00,seattle
1109.0,7,16,2018,23:00,seattle
1002.0,7,17,2018,0:00,seattle
927.0,7,17,2018,1:00,seattle
882.0,7,17,2018,2:00,seattle
848.0,7,17,2018,3:00,seattle
830.0,7,17,2018,4:00,seattle
856.0,7,17,2018,5:00,seattle
903.0,7,17,2018,6:00,seattle
1004.0,7,17,2018,7:00,seattle
1115.0,7,17,2018,8:00,seattle
1169.0,7,17,2018,9:00,seattle
1190.0,7,17,2018,10:00,seattle
1184.0,7,17,2018,11:00,seattle
1212.0,7,17,2018,12:00,seattle
1257.0,7,17,2018,13:00,seattle
1277.0,7,17,2018,14:00,seattle
1290.0,7,17,2018,15:00,seattle
1302.0,7,17,2018,16:00,seattle
1318.0,7,17,2018,17:00,seattle
1310.0,7,17,2018,18:00,seattle
1268.0,7,17,2018,19:00,seattle
1200.0,7,17,2018,20:00,seattle
1177.0,7,17,2018,21:00,seattle
1154.0,7,17,2018,22:00,seattle
1076.0,7,17,2018,23:00,seattle
967.0,7,18,2018,0:00,seattle
893.0,7,18,2018,1:00,seattle
846.0,7,18,2018,2:00,seattle
818.0,7,18,2018,3:00,seattle
820.0,7,18,2018,4:00,seattle
834.0,7,18,2018,5:00,seattle
886.0,7,18,2018,6:00,seattle
983.0,7,18,2018,7:00,seattle
1071.0,7,18,2018,8:00,seattle
1111.0,7,18,2018,9:00,seattle
1125.0,7,18,2018,10:00,seattle
1131.0,7,18,2018,11:00,seattle
1145.0,7,18,2018,12:00,seattle
1157.0,7,18,2018,13:00,seattle
1173.0,7,18,2018,14:00,seattle
1177.0,7,18,2018,15:00,seattle
