Demand,Date/Time,City
2023.0,2018/07/01 01:00:00,san diego
1896.0,2018/07/01 02:00:00,san diego
18507.0,2018/07/01 03:00:00,san diego
1825.0,2018/07/01 04:00:00,san diego
10798.0,2018/07/01 05:00:00,san diego
1826.0,2018/07/01 06:00:00,san diego
107307.0,2018/07/01 07:00:00,san diego
1621.0,2018/07/01 08:00:00,san diego
1566.0,2018/07/01 09:00:00,san diego
1493.0,2018/07/01 10:00:00,san diego
1465.0,2018/07/01 11:00:00,san diego
14071.0,2018/07/01 12:00:00,san diego
1486.0,2018/07/01 13:00:00,san diego
1522.0,2018/07/01 14:00:00,san diego
1592.0,2018/07/01 15:00:00,san diego
1685.0,2018/07/01 16:00:00,san diego
1836.0,2018/07/01 17:00:00,san diego
2058.0,2018/07/01 18:00:00,san diego
2324.0,2018/07/01 19:00:00,san diego
2460.0,2018/07/01 20:00:00,san diego
2593.0,2018/07/01 21:00:00,san diego
2498.0,2018/07/01 22:00:00,san diego
2306.0,2018/07/01 23:00:00,san diego
2093.0,2018/07/02 00:00:00,san diego
1939.0,2018/07/02 01:00:00,san diego
1842.0,2018/07/02 02:00:00,san diego
1813.0,2018/07/02 03:00:00,san diego
10794.0,2018/07/02 04:00:00,san diego
1825.0,2018/07/02 05:00:00,san diego
1925.0,2018/07/02 06:00:00,san diego
2018.0,2018/07/02 07:00:00,san diego
20107.0,2018/07/02 08:00:00,san diego
1992.0,2018/07/02 09:00:00,san diego
1966.0,2018/07/02 10:00:00,san diego
1925.0,2018/07/02 11:00:00,san diego
1961.0,2018/07/02 12:00:00,san diego
19078.0,2018/07/02 13:00:00,san diego
2019.0,2018/07/02 14:00:00,san diego
2052.0,2018/07/02 15:00:00,san diego
2141.0,2018/07/02 16:00:00,san diego
2268.0,2018/07/02 17:00:00,san diego
24076.0,2018/07/02 18:00:00,san diego
2602.0,2018/07/02 19:00:00,san diego
20738.0,2018/07/02 20:00:00,san diego
2818.0,2018/07/02 21:00:00,san diego
207007.0,2018/07/02 22:00:00,san diego
2421.0,2018/07/02 23:00:00,san diego
2133.0,2018/07/03 00:00:00,san diego
1959.0,2018/07/03 01:00:00,san diego
1842.0,2018/07/03 02:00:00,san diego
10780.0,2018/07/03 03:00:00,san diego
10752.0,2018/07/03 04:00:00,san diego
107071.0,2018/07/03 05:00:00,san diego
1894.0,2018/07/03 06:00:00,san diego
1954.0,2018/07/03 07:00:00,san diego
1964.0,2018/07/03 08:00:00,san diego
1996.0,2018/07/03 09:00:00,san diego
1962.0,2018/07/03 10:00:00,san diego
19071.0,2018/07/03 11:00:00,san diego
19607.0,2018/07/03 12:00:00,san diego
1930.0,2018/07/03 13:00:00,san diego
1931.0,2018/07/03 14:00:00,san diego
1960.0,2018/07/03 15:00:00,san diego
2060.0,2018/07/03 16:00:00,san diego
21078.0,2018/07/03 17:00:00,san diego
2364.0,2018/07/03 18:00:00,san diego
24079.0,2018/07/03 19:00:00,san diego
25807.0,2018/07/03 20:00:00,san diego
2680.0,2018/07/03 21:00:00,san diego
25071.0,2018/07/03 22:00:00,san diego
23078.0,2018/07/03 23:00:00,san diego
2184.0,2018/07/04 00:00:00,san diego
2032.0,2018/07/04 01:00:00,san diego
1923.0,2018/07/04 02:00:00,san diego
1826.0,2018/07/04 03:00:00,san diego
10791.0,2018/07/04 04:00:00,san diego
10789.0,2018/07/04 05:00:00,san diego
1802.0,2018/07/04 06:00:00,san diego
10762.0,2018/07/04 07:00:00,san diego
10731.0,2018/07/04 08:00:00,san diego
10734.0,2018/07/04 09:00:00,san diego
10743.0,2018/07/04 10:00:00,san diego
10748.0,2018/07/04 11:00:00,san diego
1801.0,2018/07/04 12:00:00,san diego
1863.0,2018/07/04 13:00:00,san diego
1846.0,2018/07/04 14:00:00,san diego
1903.0,2018/07/04 15:00:00,san diego
2000.0,2018/07/04 16:00:00,san diego
2094.0,2018/07/04 17:00:00,san diego
2254.0,2018/07/04 18:00:00,san diego
2461.0,2018/07/04 19:00:00,san diego
25070.0,2018/07/04 20:00:00,san diego
2605.0,2018/07/04 21:00:00,san diego
2530.0,2018/07/04 22:00:00,san diego
2441.0,2018/07/04 23:00:00,san diego
2262.0,2018/07/05 00:00:00,san diego
2144.0,2018/07/05 01:00:00,san diego
19907.0,2018/07/05 02:00:00,san diego
19107.0,2018/07/05 03:00:00,san diego
1902.0,2018/07/05 04:00:00,san diego
1933.0,2018/07/05 05:00:00,san diego
2030.0,2018/07/05 06:00:00,san diego
2020.0,2018/07/05 07:00:00,san diego
1995.0,2018/07/05 08:00:00,san diego
2026.0,2018/07/05 09:00:00,san diego
2125.0,2018/07/05 10:00:00,san diego
2219.0,2018/07/05 11:00:00,san diego
2268.0,2018/07/05 12:00:00,san diego
230707.0,2018/07/05 13:00:00,san diego
2528.0,2018/07/05 14:00:00,san diego
2655.0,2018/07/05 15:00:00,san diego
2835.0,2018/07/05 16:00:00,san diego
3009.0,2018/07/05 17:00:00,san diego
3184.0,2018/07/05 18:00:00,san diego
3268.0,2018/07/05 19:00:00,san diego
3220.0,2018/07/05 20:00:00,san diego
3195.0,2018/07/05 21:00:00,san diego
3093.0,2018/07/05 22:00:00,san diego
2802.0,2018/07/05 23:00:00,san diego
2496.0,2018/07/06 00:00:00,san diego
2324.0,2018/07/06 01:00:00,san diego
21076.0,2018/07/06 02:00:00,san diego
2068.0,2018/07/06 03:00:00,san diego
2023.0,2018/07/06 04:00:00,san diego
20307.0,2018/07/06 05:00:00,san diego
2089.0,2018/07/06 06:00:00,san diego
2168.0,2018/07/06 07:00:00,san diego
2251.0,2018/07/06 08:00:00,san diego
2391.0,2018/07/06 09:00:00,san diego
25078.0,2018/07/06 10:00:00,san diego
2820.0,2018/07/06 11:00:00,san diego
3061.0,2018/07/06 12:00:00,san diego
3290.0,2018/07/06 13:00:00,san diego
35307.0,2018/07/06 14:00:00,san diego
30703.0,2018/07/06 15:00:00,san diego
3926.0,2018/07/06 16:00:00,san diego
4042.0,2018/07/06 17:00:00,san diego
4118.0,2018/07/06 18:00:00,san diego
4118.0,2018/07/06 19:00:00,san diego
4040.0,2018/07/06 20:00:00,san diego
3953.0,2018/07/06 21:00:00,san diego
30788.0,2018/07/06 22:00:00,san diego
3419.0,2018/07/06 23:00:00,san diego
3058.0,2018/07/07 00:00:00,san diego
2804.0,2018/07/07 01:00:00,san diego
2584.0,2018/07/07 02:00:00,san diego
2435.0,2018/07/07 03:00:00,san diego
23307.0,2018/07/07 04:00:00,san diego
2290.0,2018/07/07 05:00:00,san diego
22807.0,2018/07/07 06:00:00,san diego
2243.0,2018/07/07 07:00:00,san diego
2309.0,2018/07/07 08:00:00,san diego
24079.0,2018/07/07 09:00:00,san diego
2692.0,2018/07/07 10:00:00,san diego
2893.0,2018/07/07 11:00:00,san diego
3063.0,2018/07/07 12:00:00,san diego
3288.0,2018/07/07 13:00:00,san diego
3408.0,2018/07/07 14:00:00,san diego
3489.0,2018/07/07 15:00:00,san diego
3533.0,2018/07/07 16:00:00,san diego
3611.0,2018/07/07 17:00:00,san diego
30742.0,2018/07/07 18:00:00,san diego
3839.0,2018/07/07 19:00:00,san diego
30786.0,2018/07/07 20:00:00,san diego
30769.0,2018/07/07 21:00:00,san diego
3630.0,2018/07/07 22:00:00,san diego
3343.0,2018/07/07 23:00:00,san diego
3040.0,2018/07/08 00:00:00,san diego
20795.0,2018/07/08 01:00:00,san diego
2639.0,2018/07/08 02:00:00,san diego
2464.0,2018/07/08 03:00:00,san diego
2359.0,2018/07/08 04:00:00,san diego
2285.0,2018/07/08 05:00:00,san diego
2233.0,2018/07/08 06:00:00,san diego
21073.0,2018/07/08 07:00:00,san diego
2236.0,2018/07/08 08:00:00,san diego
2369.0,2018/07/08 09:00:00,san diego
2559.0,2018/07/08 10:00:00,san diego
20738.0,2018/07/08 11:00:00,san diego
2855.0,2018/07/08 12:00:00,san diego
2992.0,2018/07/08 13:00:00,san diego
3259.0,2018/07/08 14:00:00,san diego
3414.0,2018/07/08 15:00:00,san diego
3483.0,2018/07/08 16:00:00,san diego
3545.0,2018/07/08 17:00:00,san diego
3615.0,2018/07/08 18:00:00,san diego
30738.0,2018/07/08 19:00:00,san diego
307207.0,2018/07/08 20:00:00,san diego
30716.0,2018/07/08 21:00:00,san diego
35407.0,2018/07/08 22:00:00,san diego
3228.0,2018/07/08 23:00:00,san diego
2883.0,2018/07/09 00:00:00,san diego
2659.0,2018/07/09 01:00:00,san diego
24074.0,2018/07/09 02:00:00,san diego
2360.0,2018/07/09 03:00:00,san diego
2289.0,2018/07/09 04:00:00,san diego
23107.0,2018/07/09 05:00:00,san diego
2449.0,2018/07/09 06:00:00,san diego
2590.0,2018/07/09 07:00:00,san diego
20780.0,2018/07/09 08:00:00,san diego
2884.0,2018/07/09 09:00:00,san diego
2982.0,2018/07/09 10:00:00,san diego
30070.0,2018/07/09 11:00:00,san diego
3085.0,2018/07/09 12:00:00,san diego
3222.0,2018/07/09 13:00:00,san diego
3224.0,2018/07/09 14:00:00,san diego
3381.0,2018/07/09 15:00:00,san diego
3381.0,2018/07/09 16:00:00,san diego
3448.0,2018/07/09 17:00:00,san diego
3580.0,2018/07/09 18:00:00,san diego
36071.0,2018/07/09 19:00:00,san diego
3634.0,2018/07/09 20:00:00,san diego
3622.0,2018/07/09 21:00:00,san diego
3448.0,2018/07/09 22:00:00,san diego
3130.0,2018/07/09 23:00:00,san diego
207907.0,2018/07/10 00:00:00,san diego
2622.0,2018/07/10 01:00:00,san diego
2464.0,2018/07/10 02:00:00,san diego
2350.0,2018/07/10 03:00:00,san diego
2301.0,2018/07/10 04:00:00,san diego
2309.0,2018/07/10 05:00:00,san diego
2425.0,2018/07/10 06:00:00,san diego
25079.0,2018/07/10 07:00:00,san diego
20768.0,2018/07/10 08:00:00,san diego
2911.0,2018/07/10 09:00:00,san diego
3016.0,2018/07/10 10:00:00,san diego
3041.0,2018/07/10 11:00:00,san diego
2968.0,2018/07/10 12:00:00,san diego
2984.0,2018/07/10 13:00:00,san diego
3102.0,2018/07/10 14:00:00,san diego
3091.0,2018/07/10 15:00:00,san diego
3141.0,2018/07/10 16:00:00,san diego
3096.0,2018/07/10 17:00:00,san diego
3138.0,2018/07/10 18:00:00,san diego
3242.0,2018/07/10 19:00:00,san diego
3243.0,2018/07/10 20:00:00,san diego
3312.0,2018/07/10 21:00:00,san diego
3208.0,2018/07/10 22:00:00,san diego
2916.0,2018/07/10 23:00:00,san diego
2646.0,2018/07/11 00:00:00,san diego
2435.0,2018/07/11 01:00:00,san diego
2292.0,2018/07/11 02:00:00,san diego
2240.0,2018/07/11 03:00:00,san diego
2182.0,2018/07/11 04:00:00,san diego
2168.0,2018/07/11 05:00:00,san diego
220707.0,2018/07/11 06:00:00,san diego
2353.0,2018/07/11 07:00:00,san diego
2409.0,2018/07/11 08:00:00,san diego
2481.0,2018/07/11 09:00:00,san diego
2495.0,2018/07/11 10:00:00,san diego
2646.0,2018/07/11 11:00:00,san diego
20759.0,2018/07/11 12:00:00,san diego
28407.0,2018/07/11 13:00:00,san diego
2910.0,2018/07/11 14:00:00,san diego
3004.0,2018/07/11 15:00:00,san diego
3114.0,2018/07/11 16:00:00,san diego
320707.0,2018/07/11 17:00:00,san diego
3430.0,2018/07/11 18:00:00,san diego
3498.0,2018/07/11 19:00:00,san diego
3414.0,2018/07/11 20:00:00,san diego
3422.0,2018/07/11 21:00:00,san diego
32071.0,2018/07/11 22:00:00,san diego
2963.0,2018/07/11 23:00:00,san diego
2663.0,2018/07/12 00:00:00,san diego
240707.0,2018/07/12 01:00:00,san diego
23073.0,2018/07/12 02:00:00,san diego
2256.0,2018/07/12 03:00:00,san diego
2198.0,2018/07/12 04:00:00,san diego
22107.0,2018/07/12 05:00:00,san diego
2296.0,2018/07/12 06:00:00,san diego
23071.0,2018/07/12 07:00:00,san diego
2336.0,2018/07/12 08:00:00,san diego
2414.0,2018/07/12 09:00:00,san diego
2455.0,2018/07/12 10:00:00,san diego
2536.0,2018/07/12 11:00:00,san diego
2643.0,2018/07/12 12:00:00,san diego
20732.0,2018/07/12 13:00:00,san diego
28075.0,2018/07/12 14:00:00,san diego
2984.0,2018/07/12 15:00:00,san diego
31078.0,2018/07/12 16:00:00,san diego
3433.0,2018/07/12 17:00:00,san diego
35907.0,2018/07/12 18:00:00,san diego
